#,TIENDAS,HOSTNAME,,NS,MODELO,SO,CPU,HHD SSD NVME,RAM
35,SUN PALACE SERVIDOR*,SUNSVR,,MJ03VEJ6,LENOVO MJ03VEJ6,W10,I5-6400,SSD 250 GB,16 GB DRR3 DIMM 
36,SUN PALACE TAB CAJA ,CUNSUNPALTC1,,MJ0360A0,LENOVO M83 Desktop,W10,I5-4460,SSD 120 GB ,8 GB DDR3 DIMM 
37,SUN PALACE JOY CAJA,CUNSUNPALJC1,,MJ03VEHT,LENOVO M800 Desktop,W10,I5-6400,SSD 250 GB,16 GB DRR3 DIMM 
38,MOON NIZUC SERVIDOR*,MOONNIZUCSVR,,MJ03VEJU,LENOVO M800 Desktop,W10,I5-6400,SSD 250 GB,16 GB DIMM
39,MOON NIZUC TAB CAJA 1,POS-MX25-MNIZT01,,,,w10,i5-4460,HDD 500 GB,8 GB DDR3 DIMM 
40,MOON NIZUC TAB CAJA 2,MOONNIZUCCJ2,,FP5S5S3,DELL OptiPlex 7000 Micro,W11,I5-12500T,NVME 250 GB,16 GB DRR4 SODIMM 
41,MOON NIZUC PUEBLITO CAJA,CUNMONNIZVC1,,YJ01Q7B0,LENOVO Neo 50q Gen 4,W11,I5-13420H,NVME 500 GB,16 GB DRR4 SODIMM 
42,MOON NIZUC JOY CAJA,CANMONNIZJC1,,QCM1250,DELL D19U MINI,W11,i5-14500T,NVME 500 GB,16 GB SODIMM 
43,COZUMEL PALACE PIER 27-,SVRCOZPAL,,GM5S5S3,DELL OptiPlex 7000 Micro,W11,I5-12500T,NVME 250 GB,16 GB DRR4 SODIMM 
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,.,,,,,
