RAZON_SOCIAL,TIENDAS,HOSTNAME,NS,MODELO,SO,CPU,HHD SSD NVME,RAM
ISLA17,SUN PALACE TAB CAJA ,CUNSUNPALTC1,MJ0360A0,LENOVO M83 Desktop,W10,I5-4460,SSD 120 GB ,8 GB DDR3 DIMM 
ISLA17,SUN PALACE JOY CAJA,CUNSUNPALJC1,MJ03VEHT,LENOVO M800 Desktop,W10,I5-6400,SSD 250 GB,16 GB DRR3 DIMM 
ISLA17,MOON NIZUC SERVIDOR*,MOONNIZUCSVR,MJ03VEJU,LENOVO M800 Desktop,W10,I5-6400,SSD 250 GB,16 GB DIMM
ISLA17,MOON NIZUC TAB CAJA 1,POS-MX25-MNIZT01,,,w10,i5-4460,HDD 500 GB,8 GB DDR3 DIMM 
ISLA17,MOON NIZUC TAB CAJA 2,MOONNIZUCCJ2,FP5S5S3,DELL OptiPlex 7000 Micro,W11,I5-12500T,NVME 250 GB,16 GB DRR4 SODIMM 
ISLA17,MOON NIZUC PUEBLITO CAJA,CUNMONNIZVC1,YJ01Q7B0,LENOVO Neo 50q Gen 4,W11,I5-13420H,NVME 500 GB,16 GB DRR4 SODIMM 
ISLA17,MOON NIZUC JOY CAJA,CANMONNIZJC1,QCM1250,DELL D19U MINI,W11,i5-14500T,NVME 500 GB,16 GB SODIMM 
ISLA17,COZUMEL PALACE PIER 27-,SVRCOZPAL,GM5S5S3,DELL OptiPlex 7000 Micro,W11,I5-12500T,NVME 250 GB,16 GB DRR4 SODIMM 
HSPRO,BLUEBAY BOUTIQUE SERVIDOR,BBAYBOUTSVR,YJ01VNDA,LENOVO Neo 50q Gen 4,W11,i5-13420H,NVME 500 GB,16 GB DRR4 SODIMM
HSPRO,BLUEBAY PLAYA SERVIDOR,BBAYPYASVR,MJ0FF9EJ,LENOVO M70q Desktop,W11,i5-10400T,NVME 500 GB,16 GB DRR4 SODIMM
HSPRO,BLUEBAY TABAQUERIA SERVIDOR,BBAYSVR,95T8CM2,DELL OptiPlex 7050 Micro,W10,i5-7500T,SSD 250 GB,16 GB DRR4 SODIMM
HSPRO,BLUEBAY TAB CAJA 1,RIVBLUBAYTC1,MJ04LR7E,LENOVO M800 Desktop,W10,I5-6400,SSD 250 GB,16 GB
HSPRO,BLUEBAY TAB CAJA 2,RIVBLUBAYTC2,MJ02JRRT,LENOVO M83 Desktop,W10,I5-4460,SSD 250 GB,16 GB DRR3 DIMM
HSPRO,BLUEBAY JOY CAJA,BBAYJOYERIA-J01,MJ04LR5U,LENOVO M800 Desktop,W10,I5-6400,SSD 120 GB,8 GB
HSPRO,H10 OCEAN PARADISE SERVIDOR - caja 3,H10PARSVR,YJ01VPD6,LENOVO Neo 50q Gen 4,W11,i5-13420H,NVME 500 GB,16 GB DRR4 SODIMM
HSPRO,H10 OCEAN PARADISE TAB CAJA1,RIVH10OCPTC1,MJ03VEF9,LENOVO M800 Desktop,W10,I5-6400,HDD 500 GB,8 GB DDR 3 DIMM
HSPRO,H10 OCEAN PARADISE TAB CAJA 2,RIVH10OCPTC2,MJ03V9LL,LENOVO M800 Desktop,W10,I5-6400,SSD 500 GB,8 GB DDR 3 DIMM
HSPRO,H10 OCEAN PARADISE RECEPTOR Juan Yanos,,,,,,,
HSPRO,H10 OCEAN PARADISE TAB RECEPTOR - impresora,RIVH10OCPTR,JD6KWW2,DELL OptiPlex 7060 Tower,W10,I5-8400,HDD 1 TB,8 GB DDR 3 DIMM
HSPRO,H10 OCEAN PARADISE JOY CAJA,CAJAJOY,MJ03VEJR,LENOVO M800 Desktop,W10,i5-6400,HDD 500 GB,8 GB DDR 3 DIMM
HSPRO,H10 RIVIERA SERVIDOR (ocean maya),H10RSVR,JBG8JG2,DELL OptiPlex 7060 Micro,W11,i5-8500T,SSD 500 GB,16 GB DRR4 SODIMM
HSPRO,H10 RIVIERA TAB CAJA (ocean maya),RIVH10OCMTC1,MJ03XGQ3,LENOVO M800 Desktop,W10,i5-6400,HDD 500 GB,8 GB DDR 3 DIMM
HSPRO,HYATT ZILARA SERVIDOR,HYTZILSVR,YJ01ZK81,Neo 50q Gen 4,W11,i5-13420H,NVME 500 GB,16 GB SODIM
HSPRO,HYATT ZILARA JOY CAJA,HYATTZILARAJOY,YJ01TQRZ,Neo 50q Gen 4,W11,I3-1215U,NVME 500 GB,16 GB SODIM
HSPRO,PALLADIUM RIVIERA SERVIDOR,SVRPCOLONIA,65SCDZ3,DELL OptiPlex Micro 7010,W11,I5-13500T,NVME 500 GB,24 GB DRR4 SODIMM
HSPRO,PALLADIUM RIV WHITESANDS CAJA1,RIVPALWHSBC1,MJ03XMTE,LENOVO M800 Desktop,W10,I5-6400,HDD 500 GB,8 GB DRR3 DIMM
HSPRO,PALLADIUM RIV WHITESANDS CAJA2,RIVPALWHSBC2,MJ03VEJE,LENOVO M800 Desktop,W10,i5-6400,SSD 120 GB,8 GB DRR3 DIMM
HSPRO,PALLADIUM RIV PLAYA CAJA,RIVPALPYAPC1,MJ03VQEU,LENOVO M800 Desktop,W10,I5-6400,SSD 250 GB,16 GB DRR3 DIMM
HSPRO,PALLADIUM RIV COL AMIANI CAJA,RIVPALCOLBC1,7M5S5S3,DELL OptiPlex 7000 Micro,W10,I5-12500T,SSD 250 GB,16 GB DRR4 SODIMM
HSPRO,PALLADIUM JOY COLONIAL,RIVPALCOLJC1,YJ01VN2N,LENOVO Neo 50q Gen 4,W11,i5-13420H,NVME 500 GB,16 GB DRR4 SODIMM
HSPRO,PALLADIUM RIV KANTENAH CAJA1,RIVPALKANTC1,MJ04LRA5,LENOVO M800 Desktop,W10,I5-6400,SSD 250 GB,8 GB DRR3 DIMM
HSPRO,PALLADIUM RIV KANTENAH CAJA2,RIVPALKANTC2,MJ039676,LENOVO M83 Desktop,W10,I3-4150,SSD 250 GB,8 GB DRR3 DIMM
HSPRO,PALLADIUM RIV KANTENAH RECEPTOR,RIVPALKANRCP,,,W10,I5-7500T,HDD 1 TB,8 GB DRR3 DIMM
HSPRO,PALLADIUM ROYAL JOY SERVIDOR,SVRPROYAL,YJ01TQVZ,LENOVO Neo 50q Gen 4,W11,i3-1215U,NVMe 500 GB,16 GB DRR4 SODIMM
HSPRO,PRINCESS RIVIERA SERVIDOR,PRINRIVSVR,YJ01VMMJ,LENOVO Neo 50q Gen 4,W11,i5-13420H,NVMe 500 GB,16 GB DRR4 SODIMM
HSPRO,PRINCESS RIV CAJA1,RIVPRNRIVMC1,3D7M9N2,DELL OptiPlex 7050 Micro,W10,I5-7500T,HDD 1 TB,8 GB DRR4 SODIMM
HSPRO,PRINCESS RIV CAJA2,RIVPRNRIVMC2,MJ02YE3J,LENOVO M83 Desktop,W10,I5-4460,SSD 120 GB,8 GB DRR3 DIMM
HSPRO,PRINCESS RIV JOY CAJA,RIVPRNRIVJOY,MJ015XJT,LENOVO M83 Desktop,W10,I5-4440S,SSD 120 GB,8 GB DRR3 DIMM
HSPRO,PRINCESS RIV TDA PLAYA SERVIDOR,PRIVPYASVR,MJ0GHWS3,LENOVO M75q Gen 2,W11,RYZEN 5 PRO 4650GE,NVMe 250 GB,8 GB DRR4 SODIMM
HSPRO,RIU LUPITA SERVIDOR,SVRRIULUP,6943JL2,DELL OptiPlex 7050 Micro,W10,i5-7500T,SSD 250 GB,16 GB DRR4 SODIMM
HSPRO,SANDOS CANCUN,SVRSDOSCUN,YJ01ZK1P,Neo 50q Gen 4,W11,i5-13420H,NVMe 500 GB,16 GB DRR4 SODIMM
HSPRO,SANDOS CARACOL SERVIDOR,SVRSDOSCAR,JGH3DP2,DELL OptiPlex 7050 Micro,W10,i5-7500T,SSD 250 GB,16 GB DRR4 SODIMM
HSPRO,SANDOS CARACOL RECEPTOR,SVR,MJ00XLV1,LENOV O M83 Desktop,W10,I5-4440S,HDD 500 GB,8 GB DRR3 DIM
HSPRO,SANDOS CARACOL CAJA 1,RIVSANCARTC1,MJ0360BL,LENOVO M83 Desktop,W10,I5-4460,HDD 500 GB,8 GB DRR3 DIM
HSPRO,SANDOS CARACOL CAJA 2 (Anydesk del servidor),RIVSANCARTC2,MJ03XGP1,LENOVO M800 Desktop,W10,I5-6400,HDD 500 GB,8 GB DRR3 DIM
HSPRO,SANDOS CARACOL CAJA 3,RIVSANCARTC3,MJ01R3XG,LENOVO M83 Desktop,W10,I5-6400,HDD 500 GB,8 GB DRR3 DIM
HSPRO,SANDOS CARACOL JOY,RIVSANCARJC1,1QS56Q2,DELL Vostro 3470,W10,I5-8400,HDD 1 TB,8 GB DRR3 DIM
HSPRO,(NO) SANDOS PLAYACAR,SVRSDOSPCAR,6955JL2,DELL OptiPlex 7050 Micro,W10,i5-7500T,SSD 500 GB,16 GB DRR4 SODIMM
HSPRO,SANDOS PLAYACAR CAJA 1,RIVSANPYCTC1,MJ00YKVK,LENOVO M83 Desktop,W10,I5-4440S,SSD 120 GB,8 GB DRR3 DIM
HSPRO,SANDOS PLAYACAR CAJA 2,RIVSANPYCTC2,MJ01MGT7,LENOVO M83 Desktop,W10,I5-4460,HDD 500 GB,8 GB DRR3 DIM
HSPRO,SANDOS PLAYACAR LOBBY,RIVSANPYCTC3,MJ0431MZ,LENOVO M800 Desktop,W10,I5-6400,HDD 500 GB,8 GB DRR3 DIM
HSPRO,SANDOS PLAYACAR JOY (forti client),RIVSANPYCJC1,MJ003SJY,LENOVO M83 Desktop,W10,I5-4440S,HDD 500 GB,8 GB DRR3 DIM
HSPRO,(NO) THE FIVES SERVIDOR,SVRTHEFIVES,YJ01J6PD,LENOVO Neo 50q Gen 4,W11,i5-13420H,NVMe 500 GB,16 GB DRR4 SODIMM
HSPRO,(NO) Hilton THE ROYAL SERVIDOR (hyatt vivid),THEROYALSVR,MJ03XMTS,LENOVO M800 Desktop,W10,I5-6400,SSD 500 GB,16 GB DIMM
HSPRO,Hilton THE ROYAL CAJA,RIVTHEROYTC2,MJ03VEGP,LENOVO M800 Desktop,W10,I5-6400,HDD 500 GB,8 GB DRR3 DIM
HSPRO,Hilton THE ROYAL JOY,RIVTHEROYJC1,MJ03608G,LENOVO M83 Desktop,W10,I5-4460,SSD 250 GB,16 GB DDR3 DIMM
HSPRO,(NO) PRINCESS YUC SERVIDOR,PRINYUCSVR,MJ0GHWQG,LENOVO M75q Gen 2,W11,RYZEN 5 PRO 4650GE,SSD 250 GB,16 GB DRR4 SODIMM
HSPRO,PRINCESS YUC TAB CAJA 1,RIVPRNYUCBC2,MJ02T07C,LENOVO M83 Desktop,W10,I5-4460,SS 120 GB,12 GB DDR3 DIMM
HSPRO,PRINCESS YUC AMIANI CAJA 2,PRINYUCCJ1,YJ01VNFD,LENOVO Neo 50q Gen 4,W11,i5-13420H,NVMe 500 GB,16 GB DRR4 SODIMM
HSPRO,PRINCESS YUC JOY CAJA,RIVPRNYUCJC1,MJ01HXHQ,LENOVO M83 Desktop,W10,I5-4440S,HDD 500 GB,8 GB DDR3 DIMM
HSPRO,(NO) PRINCESS SUNSET SERVIDOR,PRINSUNSVR,YJ01ZK08,LENOVO Neo 50q Gen 4,W11,i5-13420H,NVMe 500 GB,16 GB DRR4 SODIMM
HSPRO,PRINCESS SUNSET TAB CAJA1,RIVPRNSUNTC1,6915JL2,DELL OptiPlex 7050 Micro,W10,I5-7500T,NVME 500 GB,16 GB DRR4 SODIMM
HSPRO,PRINCESS SUNSET TAB CAJA2,RIVPRNSUNTC2,171F8R2,DELL OptiPlex 3060 Micro,W11,I5-8500T,SSD 250 GB,16 GB DRR4 SODIMM
HSPRO,(NO) WYNDHAM,RIVWYNDHASVR,YJ01M97M,LENOVO Neo 50q Gen 4,W11,i5-13420H,NVMe 500 GB,16 GB DRR4 SODIMM
PTOARENAS,AEROPUERTO TERMINAL 2 SERVIDOR PIER27,SVRASURCUNT2,BDVL0S2,DELL OptiPlex 3060 Micro,W11,I5-8400T,SSD 250 GB,16 GB DRR4 SODIMM
PTOARENAS,AEROPUERTO TERMINAL 3 SERVIDOR PIER27,SVRASURCUNT3,YJ01Q73W,LENOVO Neo 50q Gen 4,W11,i5-13420H,NVME 500 GB,16 GB DRR4 SODIMM
PTOARENAS,H10 PTO MORELOS (ocean coral & turquesa) TAB SERVIDOR,SVRH10PTOM,YJ01Q29G,LENOVO Neo 50q Gen 4,W11,i5-13420H,NVME 500 GB,16 GB DRR4 SODIMM
PTOARENAS,H10 PTO MORELOS TAB CAJA1,H10PTOMCAJA1,YJ01Q1G2,LENOVO Neo 50q Gen 4,W11,i5-13420H,NVME 500 GB,16 GB DRR4 SODIMM
PTOARENAS,H10 PTO MORELOS TAB CAJA2,H10PTOMCAJA2,YJ01Q1D5,LENOVO Neo 50q Gen 4,W11,i5-13420H,NVME 500 GB,16 GB DRR4 SODIMM
PTOARENAS,(NO) HAVEN HIPOTELS Amiani SERVIDOR,SVRHIPOTELS,95L9CM2,DELL OptiPlex 7050 Micro,W10,I5-7500T,SSD 500 GB,16 GB DRR4 SODIMM
PTOARENAS,HAVEN HIPOTELS Amiani Caja,RIVHAVHIPA01,95H8CM2,DELL OptiPlex 7050 Micro,W10,I5-7500T,SSD 250 GB,8 GB DRR4 SODIMM
PTOARENAS,HAVEN HIPOTELS SUNGLASSCHIC,RIVHAVHIPS01,DCQDHK2,DELL OptiPlex 7050 Micro,W10,I5-7500T,SSD 250 GB,16 GB DRR4 SODIMM
PTOARENAS,ROYALTON RIV MUL SERVIDOR,SVRROYALTON,MJ0FF9F3,LENOVO M70q Desktop,W11,I5-10400T,SSD 500 GB,32 GB DRR4 SODIMM
PTOARENAS,ROYALTON RIV MUL CAJA1,ROYSIPATCJ1,YJ01Q1Z2,NEO 50q Gen4,w11,I5-13420H,NVME 512 GB,16 GB DRR4 SODIMM
PTOARENAS,ROYALTON RIV MUL CAJA2,SIPATRONCAJA2,MJ03VEH7,LENOVO M800 Desktop,W10,i5-6400,HDD 500 GB,16 GB DDR3 DIMM
PTOARENAS,ROYALTON RIV MUL CAJA3 PIER27,ROYPIERCJ3,JGHLQP2,DELL OPTIPLEX 7050 MINI,W11,i5-7500T,NVME 480 GB,16 GB SODIMM
PTOARENAS,ROYALTON RIV MUL CAJA 5 PIER27,POS-MX25-RYT01,DRS8ND4,DELL PRO MICRO QCM1250,W11,i5-14500T,NVME 480 GB,16 GB SODIMM
PTOARENAS,ROYALTON RIV MUL CAJA4 AMIANI,RoyAmianiCaja4,MJ03XMTQ,LENOVO M800 Desktop,W10,i5-6400,SSD 120 GB,16 GB DDR3 DIMM
PTOARENAS,ROYALTON RIV JOY CAJA,RIVROYRIVJC1,MJ03VEH4,LENOVO M800 Desktop,W10,i5-6400,SSD 500 GB,24 GB DDR3 DIMM
PTOARENAS,ROYALTON RIV PLAYA PIER27 SERVIDOR,SVRROYPY,YJ01VP9Z,LENOVO Neo 50q Gen 4,W11,I5-13420H,SSD 500 GB,16 GB DDR3 DIMM
PTOARENAS,ROYALTON SPLASH RIV BOARDWALK SERVIDOR,SVRRYTSPL,HM5S5S3,DELL OptiPlex 7000 Micro,W11,I5-12500T,NVME 250 GB,16 GB DRR4 SODIMM
PTOARENAS,ROYALTON SPLASH RIV BOARDWALK CAJA,RIVROYSPLM01,1R5S5S3,DELL OptiPlex 7000 Micro,W11,I5-12500T,NVME 250 GB,16 GB DRR4 SODIMM
PTOARENAS,ROYALTON SPLASH RIV BOARDWALK AMIANI CAJA 3,RIVROYSPLMC3,YJ01YBZ6,LENOVO Neo 50q Gen 4,W11,I5-13420H,NVME 500 GB,16 GB DRR4 SODIMM
PTOARENAS,ROYALTON SPLASH RIVIERA BOARDWALK RECEPTOR,RIVROYSPLR,MJ02T0DG,LENOVO M83 Desktop,W10,i5-4460,SSD 240 GB,16 GB DDR3 DIMM
PTOARENAS,ROYALTON SPLASH RIV JOYERIA,RIVROYSPLJ01,YJ01VMLA,LENOVO Neo 50q Gen 4,W11,I5-13420H,NVME 500 GB,16 GB DRR4 SODIMM
PTOARENAS,*ROYALTON SPLASH RIVIERA EL CORAZON SERVIDOR,SVRRYTSPLCZ,CN5S5S4,DELL OptiPlex 7000 Micro,W11,I5-12500T,NVME 250 GB,16 GB DRR4 SODIMM
PTOARENAS,ROYALTON SPLASH RIVIERA EL CORAZON CJ1,ROYCORAZONCJ1,98DYRT3,DELL OptiPlex 3000 Micro,W11,I5-12500T,NVME 250 GB,8 GB SODIMM
PTOARENAS,*ROYALTON SPLASH RIVIERA PIER 27 SERVIDOR,SVRRYTSPL27,2Q5S5S3,DELL OptiPlex 7000 Micro,w11,I5-12500T,NVME 500 GB,16 GB RAM
PTOARENAS,HARDROCK HACIENDAS PIER27 SERVIDORx,RHPSVR,MJ0FF9F2,LENOVO M70q Desktop,W11,I5-10400T,NVME 250 GB,16 GB DRR4 SODIMM
PTOARENAS,HARDROCK HACIENDAS PIER27 CAJA 1x,RIVHRDHDATC1,DCNMHK2,DELL OptiPlex 7050 Micro,W10,I5-7500T,SSD 500 GB,16 GB DRR4 SODIMM
PTOARENAS,HARDROCK HACIENDAS PIER27 CAJA 2x,RIVHRDHDATC2,7TYK8X2,DELL OptiPlex 7060 Micro,W11,I5-8500T,SSD 500 GB,16 GB DRR4 SODIMM
PTOARENAS,HARDROCK HACIENDAS MARINI,RIVHRDHDAJC1,MJ0HNWV8,LENOVO M70q Gen 2,W11,I5-11400T,SSD 500 GB,16 GB DRR4 SODIMM
PTOARENAS,*HARDROCK HACIENDAS AMIANI SERVIDOR,RHASVR,MJ0FF9EL,LENOVO M70q Desktop,W11,I5-10400T,NVME 500 GB,16 GB DRR4 SODIMM
PTOARENAS,HARDROCK HEAVEN JOYERIA SERVIDOR,RRASVR,MJ03VEGL,LENOVO M800 Desktop,W10,I5-6400,HDD 500 GB,8 GB DIMM
PTOARENAS,HARDROCK HEAVEN AMIANI CAJA,RIVHARDHEAAC1,67DPRT3,DELL OptiPlex 3000 Micro,W11,I5-12500T,NVME 250 GB,16 GB DRR4 SODIMM
PTOARENAS,HARDROCK HEAVEN PIER27 SERVIDOR,RRPSVR,4J20GT3,LENOVO OptiPlex 3000 Micro,W11,I5-12500T,NVME 500 GB,16 GB DRR4 SODIMM
PTOARENAS,HARDROCK HEAVEN PIER27 CAJA 1,RIVHRDHEAPC1,FF20GT3,DELL OptiPlex 3000 Micro,W11,I5-12500T,NVME 250 GB,16 GB DRR4 SODIMM
PTOARENAS,HARDROCK HEAVEN PIER27 CAJA 2,RIVHRDHEAPC2,JQZXRT3,DELL OptiPlex 3000 Micro,W11,I5-12500T,NVME 250 GB,16 GB DRR4 SODIMM
PTOARENAS,UNICO SERVIDOR,UNICOSVR,MJ0FF9H1,LENOVO M70q Desktop,W11,I5-10400T,SSD 250 GB,16 GB DRR4 SODIMM
PTOARENAS,UNICO CAJA 1,RIVUNICOMC1,MJ03VEJ7,LENOVO M800 Desktop,W10,I5-6400,SSD 120 GB,8 GB DIMM
PTOARENAS,UNICO JOY,JOYUNICO,1T856Q2,DELL Vostro 3470,W10,I5-8400,HDD 1 TB,8 GB DIMM
PTOARENAS,UNICO PIER27 VIVA MEXICO SERVIDOR,RIVUNIVMEPSVR,YJ01J6Q5,LENOVO Neo 50q Gen 4,W11,i5-13420H,NVME 500 GB,16 GB DRR4 SODIMM
PTOARENAS,SIRENIS MULTI SERVIDOR,RIVSIRENIMSVR,YJ01HF9S,LENOVO Neo 50q Gen 4,W11,i5-13420H,NVME 500 GB,16 GB DRR4 SODIMM
PTOARENAS,SIRENIS MULTI CAJA,RIVSIRENIMC01,YJ01J6MK,LENOVO Neo 50q Gen 4,W11,i5-13420H,NVME 500 GB,16 GB DRR4 SODIMM
PTOARENAS,*SIRENIS TDA DE PLAYA SERVIDOR,RIVSIRENIPSVR,YJ01HFFV,LENOVO Neo 50q Gen 3,W10,i5-13420H,NVME 500 GB,16 GB DRR4 SODIMM
PTOARENAS,SIRENIS CARRETA,RIVSIRENIPC02,YJ01MADE,LENOVO Neo 50q Gen 4,,i5-13420H,NVME 500 GB,16 GB DRR4 SODIMM
PTOARENAS,*PALMAR BEACH PIER27,RIVPALBEAPSVR,5PJ7Z24,DELL OptiPlex Micro 7010,W11,I5-12500T,NVME 500 GB,16 GB DRR4 SODIMM
PTOARENAS,PALMAR BEACH AMIANI,RIVPALBEAASVR,6XM7Z24,DELL OptiPlex Micro 7010,W11,I5-12500T,NVME 500 GB,16 GB DRR4 SODIMM
PTOARENAS,PALMAR BEACH ALBERCA,RIVPALBEAESVR,,,,,,
PTOARENAS,SIRENIS VIVA MEXICO SERVIDOR,RIVSIRENIVSVR,YJ01HF8T,LENOVO Neo 50q Gen 4,W11,i5-13420H,NVME 500 GB,16 GB DRR4 SODIMM
PTOARENAS,SIRENIS VIVA MEXICO CAJA,RIVSIRENIVC01,YJ01PALW,LENOVO Neo 50q Gen 4,W11,i5-13420H,NVME 500 GB,16 GB DRR4 SODIMM
PTOARENAS,PARAISO LA BONITA,SVR-MX25-PLB01,YJ01ZKFG,LENOVO Neo 50q Gen 4,W11,i5-13420H,NVME 500 GB,16 GB DRR4 SODIMM
